,image_path,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,AU19,AU20
0,/content/dataset_resized/001/00006.png,0.04917778,0.19552082,0.4649487,0.4117011,0.19612682,0.07901153,0.14385246,-0.01854273,0.6595264,-0.14579661,0.26574627,0.44219765,0.32566962,0.19114117,0.603631,0.785643,-0.117604166,0.22866629,0.6350973,0.12266373
1,/content/dataset_resized/001/00027.png,-4.9643683,0.8905515,-5.6808453,-2.4908054,7.8091574,0.688102,3.0456355,-1.5723264,-2.4748554,2.7206788,6.4508624,-14.1956215,0.8898947,9.662579,-14.975457,4.6948843,-29.022661,-9.481115,-0.5316214,0.5848973
2,/content/dataset_resized/001/00036.png,-5.4388614,-2.113617,-3.0734282,-0.8915849,5.7962255,0.8866011,2.692846,-1.9693389,-2.2861814,-0.24128951,3.28205,-8.529397,-1.3396575,3.214765,-8.733082,6.7241025,-21.302685,-6.222395,1.0102262,-0.33419016
3,/content/dataset_resized/001/00003.png,-3.6165633,3.8722448,-7.0621767,-3.298972,11.573432,-0.6875529,4.8630033,-0.4044546,-1.8985633,6.3847394,9.38442,-17.51859,0.9419606,17.662727,-14.841833,4.1531696,-36.513817,-10.4622965,-2.4144483,1.5405257
4,/content/dataset_resized/001/00024.png,-6.139564,-0.9995757,-4.107561,-1.630223,6.83417,0.9152024,3.3906567,-3.1188748,-3.6500492,0.09043274,4.4860682,-11.34643,-0.6309526,6.2286525,-12.576089,6.864151,-27.229574,-8.605852,0.3290468,-0.48717192
5,/content/dataset_resized/001/00035.png,-6.021397,-0.5044032,-4.302108,-1.7314284,7.588424,1.5443554,3.251438,-1.7365161,-2.7665997,1.4967676,4.7987866,-10.464874,-0.79635024,7.3243966,-12.095475,6.0874596,-27.140425,-7.7504807,0.009162471,-0.37663248
6,/content/dataset_resized/001/00002.png,-2.6828322,1.0759125,-3.1831832,-1.0360224,7.032367,0.06186965,3.9805732,-1.3720777,-2.0986776,2.373979,4.997518,-8.580936,-0.07657695,8.230518,-6.21382,5.3686113,-19.925533,-5.2934694,-0.080069974,0.10400936
7,/content/dataset_resized/001/00005.png,-4.9824977,1.1801558,-6.168395,-2.7078192,9.746412,0.48433045,5.748919,-4.140537,-4.373169,3.2411466,7.842753,-14.84432,-0.30652785,9.557393,-9.989927,8.453473,-32.68896,-10.835068,-0.31568283,-1.6368539
8,/content/dataset_resized/001/00026.png,-8.772288,-0.07765107,-7.403557,-4.2470284,9.472256,1.1934352,5.970249,-7.408395,-7.3064003,0.7917639,8.839674,-20.485252,0.089202166,8.619623,-17.326193,9.909134,-44.38391,-16.647657,-0.58506435,-3.1335819
9,/content/dataset_resized/001/00025.png,-7.2228684,-0.7657519,-5.9038935,-2.6800268,7.8865294,0.76883173,3.6978219,-4.001686,-4.244047,0.6925856,6.158626,-15.406248,0.008015871,6.8833423,-15.304178,7.4860992,-33.452663,-11.7206,0.24164538,-0.7175596
10,/content/dataset_resized/001/00023.png,-5.8876967,-0.10525231,-5.191558,-1.9028518,7.8627505,0.7909007,2.9119282,-1.9610608,-2.6841602,1.6135527,5.002466,-11.650799,-0.60354495,8.020335,-12.658719,6.1859055,-27.991026,-8.4692135,0.13309626,-0.05483702
11,/content/dataset_resized/002/00050.png,0.51836646,0.37436813,0.38837743,0.4264353,0.27558517,0.32058173,0.2770437,0.24685663,0.69506377,0.29183888,0.40135026,0.4097839,0.42926717,0.55063,0.5723168,0.19944118,0.8918216,0.6893381,0.29161322,0.15353203
12,/content/dataset_resized/002/00049.png,0.5335857,0.40809518,0.38710132,0.438867,0.22258514,0.22781761,0.18873309,0.22286263,0.7109927,0.21348213,0.34112,0.40793642,0.4465326,0.62188697,0.57801986,0.23025306,0.8931608,0.692424,0.33974153,0.17238753
